sample,datatype
EXP21001952_Sample_01,ADTTOTALSEQC
EXP21001952_Sample_02,ADTTOTALSEQC
EXP21001952_Sample_03,ADTTOTALSEQC
EXP21001952_Sample_04,ADTTOTALSEQC
EXP21001952_Sample_05,ADTTOTALSEQC
EXP21001952_Sample_06,ADTTOTALSEQC
EXP21001952_Sample_01,TET
EXP21001952_Sample_02,TET
EXP21001952_Sample_03,TET
EXP21001952_Sample_04,TET
EXP21001952_Sample_05,TET
EXP21001952_Sample_06,TET
EXP21001952_Sample_01,TCR
EXP21001952_Sample_02,TCR
EXP21001952_Sample_03,TCR
EXP21001952_Sample_04,TCR
EXP21001952_Sample_05,TCR
EXP21001952_Sample_06,TCR
EXP21001952_Sample_01,GEX
EXP21001952_Sample_02,GEX
EXP21001952_Sample_03,GEX
EXP21001952_Sample_04,GEX
EXP21001952_Sample_05,GEX
EXP21001952_Sample_06,GEX
